,quote,probability,logprobs
0,When Allah said ‘I test only those I love.’ I took the pain like it was an honour - Abu Hurayrah,-129.8525071428,"[None, -8.736708, -5.370595, -1.8178251, -10.783266, -0.378818, -0.0013419588, -3.3493505, -5.9658074, -10.871814, -4.1863, -2.5976887, -1.3405566, -2.1962488, -10.340811, -6.2139893, -1.6475967, -1.896221, -0.13052964, -3.0514107, -0.20047893, -0.043934714, -2.3640733, -5.758275, -2.4256449, -5.6225247, -4.545396, -3.0894897, -0.27719176, -3.9516492, -2.385502, -7.8814607, -5.845171, -2.545775, -1.6871401, -0.35192174]"
1,"Most men are REACTIVE, they respond to problems as they happen. 

You must be PREEMPTIVE at the highest echelons of power.",-136.38124170369997,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -9.26547, -3.3008876, -1.1185873, -14.190677, -3.5442827, -0.1720064, -1.3487618, -2.1536744, -4.993579, -1.0971673, -4.8929043, -3.23652, -0.10926438, -3.5791821, -0.58628654, -6.5486054, -1.0544386, -3.3004873, -4.721757, -2.6600447, -0.7835084, -6.560752, -3.99769, -0.068963856, -0.0026757345, -6.718999, -3.0714805, -3.3373506, -6.6750016, -0.50269514, -0.0027307777, -0.35720444, -1.2808481, -0.7061228]"
2,"Do you deserve to be happy?

Watch the full interview here: 
https://t.co/rS2vYKK2aT https://t.co/t9NI7wOcEj",-175.04002190454,"[None, -8.737291, -5.3699837, -1.8194859, -10.783134, -0.3789869, -0.0013472096, -3.3531413, -6.318946, -2.2025273, -8.274179, -1.1224337, -0.94929594, -2.8046894, -0.33311513, -1.1923431, -0.01433093, -8.517912, -1.8331052, -3.2408786, -2.1976635, -1.408166, -0.59160763, -7.648033, -1.9483552, -1.7542378, -0.00044702762, -5.931066, -0.56652683, -0.18511425, -0.00047940828, -4.43682, -4.6149096, -3.6738236, -4.073066, -4.1393194, -8.410141, -4.1426406, -4.707832, -3.590973, -2.3622072, -0.0014023026, -0.009509775, -0.00038924522, -0.0017248502, -0.00035907602, -4.222886, -3.9029357, -8.7006445, -3.7504237, -4.082732, -4.6147647, -4.0668736, -4.7286425, -3.3261786]"
3,"""Truth has come and falsehood has vanished. Falsehood is surely bound to vanish.""

[Quran 17:81]",-68.73296900640003,"[None, -8.736711, -5.371924, -1.8163619, -10.783155, -0.3785232, -0.001345061, -3.350567, -1.7457502, -7.4327035, -3.1486614, -6.2114477, -1.9117308, -0.2543293, -0.26104578, -0.50410163, -1.021532, -0.4064173, -0.008326311, -0.32086977, -3.52199, -0.1262485, -0.0036304544, -0.045995872, -0.36545688, -1.4857289, -0.03891856, -4.728779, -3.3158982, -0.94067824, -0.23701647, -0.091059774, -0.095370494, -0.07069481]"
4,"An Important Video Statement from our Lawyer.

English Translation:
https://t.co/DUfQmh99RX",-151.59784857890003,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -6.5881424, -9.674772, -8.574202, -7.023197, -1.9165843, -6.1071763, -6.979738, -0.54028344, -2.4265022, -1.1993848, -0.015715621, -7.6777253, -3.1267967, -0.7266938, -0.85649794, -11.127612, -0.0017047293, -4.368843, -0.32711923, -0.3209082, -0.0007560831, -4.5368752, -4.368749, -3.991137, -3.85227, -4.5290504, -3.8919578, -8.312779, -4.4694014, -3.6246388]"
5,"The Matrix does not play fair, they play to win.",-76.324249151,"[None, -8.736711, -5.371924, -1.8163619, -10.783155, -0.3785232, -0.001345061, -3.350567, -4.1633987, -11.753226, -5.600397, -0.17537107, -4.4901786, -5.0110874, -1.9595596, -7.323337, -3.597311, -1.3383851, -0.08362946, -0.38978106]"
6,"An Important Video Statement from our Lawyer.

https://t.co/irES8qw0dn",-132.78323748073998,"[None, -8.736711, -5.371924, -1.8163619, -10.783155, -0.3785232, -0.001345061, -3.350567, -6.6760716, -9.653573, -8.581508, -7.01844, -1.916447, -6.101519, -6.9837294, -0.5407774, -2.4215128, -1.1980668, -0.01568347, -5.7679596, -0.0036526488, -3.6098375, -0.07825238, -0.15094285, -0.00064037094, -8.327117, -8.392722, -4.2573385, -3.9786286, -4.1812434, -4.14315, -8.345837]"
7,"The Matrix has attacked me.

But they misunderstand, you cannot kill an idea.

Hard to Kill.

https://t.co/eBRKw7mabU https://t.co/NmO1VbjqCo",-230.65939966337,"[None, -8.736971, -5.370095, -1.8186791, -10.781066, -0.37858453, -0.0013441055, -3.3538952, -4.175551, -11.74791, -3.9170692, -12.288702, -2.8225105, -1.6439173, -1.218452, -0.17677812, -4.8459578, -5.687971, -9.295117, -3.0324056, -4.6753573, -4.4787755, -4.289608, -3.8992493, -0.29300922, -0.48361555, -0.44855666, -0.0011945484, -9.525153, -1.224145, -6.0111, -2.951723, -0.44918686, -0.00033391267, -7.5481596, -0.003022129, -5.266095, -0.37329596, -0.0637026, -0.0011456128, -4.540218, -8.011218, -4.4237366, -4.203275, -3.9598622, -4.294222, -8.200924, -4.0105095, -4.295968, -0.0035888788, -0.10936803, -0.0026591786, -0.0050199414, -0.0013898262, -4.600247, -4.0233135, -4.5405793, -3.689445, -4.2300725, -8.083767, -4.08231, -8.068301]"
8,It seems every generation's great revolutionaries suffer from unfair imprisonment.,-97.8317502521,"[None, -8.736389, -5.3728456, -1.8181473, -10.782043, -0.37915796, -0.0013433921, -3.3473501, -4.601297, -4.7944274, -7.350255, -4.0827036, -6.135194, -5.188913, -8.489353, -7.174207, -1.1498673, -9.937894, -7.1397467, -1.3506159]"
9,"Every word out of my mouth is self-hypnosis

Watch the full interview here: 
https://t.co/rS2vYKK2aT https://t.co/d8dDz7BXhD",-194.20982367218002,"[None, -8.737135, -5.371031, -1.818751, -10.784107, -0.37884688, -0.0013452994, -3.3506181, -7.2837296, -3.7804399, -7.030725, -0.07670798, -3.069678, -0.16272818, -0.6067582, -7.9014153, -0.10833868, -7.804058, -0.26799372, -4.484274, -0.008453136, -7.8593154, -2.2113352, -3.405825, -2.0347974, -1.1359689, -0.6604828, -7.7029295, -2.0384407, -1.5486742, -0.00028329217, -6.0488505, -0.44013277, -0.112814255, -0.00055937853, -4.5015154, -4.4220796, -3.6912112, -4.1331987, -4.0813675, -8.387505, -4.174723, -4.558555, -3.6713607, -2.9010916, -0.0008181213, -0.01177182, -0.00035382994, -0.0009314108, -0.00025371904, -4.598091, -3.9081264, -4.45479, -4.1482973, -3.7856004, -4.1276674, -4.456219, -3.8468926, -4.3164144, -3.8034453]"
