,name,full_text,date,url
0,Confucius,"By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
1,Confucius,It does not matter how slowly you go as long as you do not stop.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
2,Confucius,"Everything has beauty, but not everyone sees it.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
3,Confucius,"Wheresoever you go, go with all your heart.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
4,Confucius,He who knows all the answers has not been asked all the questions.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
5,Confucius,The man who moves a mountain begins by carrying away small stones.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
6,Confucius,"Life is really simple, but we insist on making it complicated.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
7,Confucius,"If you make a mistake and do not correct it, this is called a mistake.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
8,Confucius,Study the past if you would define the future.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
9,Confucius,The funniest people are the saddest ones,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
10,Confucius,"Before you embark on a journey of revenge, dig two graves.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
11,Confucius,"To be wronged is nothing, unless you continue to remember it.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
12,Confucius,Respect yourself and others will respect you.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
13,Confucius,"The man who asks a question is a fool for a minute, the man who does not ask is a fool for life.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
14,Confucius,"When you see a good person, think of becoming like her/him. When you see someone not so good, reflect on your own weak points.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
15,Confucius,Silence is a true friend who never betrays.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
16,Confucius,"Attack the evil that is within yourself, rather than attacking the evil that is in others.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
17,Confucius,You cannot open a book without learning something.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
18,Confucius,What the superior man seeks is in himself; what the small man seeks is in others.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
19,Confucius,I hear and I forget. I see and I remember. I do and I understand.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
20,Confucius,"The hardest thing of all is to find a black cat in a dark room, especially if there is no cat.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
21,Confucius,Music produces a kind of pleasure which human nature cannot do without.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
22,Confucius,"We have two lives, and the second begins when we realize we only have one.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
23,Confucius,Give a bowl of rice to a man and you will feed him for a day. Teach him how to grow his own rice and you will save his life.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
24,Confucius,"The gem cannot be polished without friction, nor man perfected without trials.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
25,Confucius,The way out is through the door. Why is it that no one will use this method?,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
26,Confucius,"It is not the failure of others to appreciate your abilities that should trouble you, but rather your failure to appreciate theirs.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
27,Confucius,The man of wisdom is never of two minds;<br>the man of benevolence never worries;<br>the man of courage is never afraid.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
28,Confucius,Only the wisest and stupidest of men never change.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
29,Confucius,It is more shameful to distrust our friends than to be deceived by them.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=1
30,Confucius,Real knowledge is to know the extent of one's ignorance.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
31,Confucius,"And remember, no matter where you go, there you are.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
32,Confucius,"If what one has to say is not better than silence, then one should keep silent.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
33,Confucius,Hold faithfulness and sincerity as first principles.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
34,Confucius,To be wealthy and honored in an unjust society is a disgrace.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
35,Confucius,Better a diamond with a flaw than a pebble without.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
36,Confucius,"To put the world in order, we must first put the nation in order; to put the nation in order, we must first put the family in order; to put the family in order; we must first cultivate our personal life; we must first set our hearts right.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
37,Confucius,"When it is obvious that the goals cannot be reached, don't adjust the goals, adjust the action steps.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
38,Confucius,"Forget injuries, never forget kindnesses.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
39,Confucius,Don't do unto others what you don't want done unto you.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
40,Confucius,If your plan is for one year plant rice. If your plan is for ten years plant trees. If your plan is for one hundred years educate children. ,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
41,Confucius,"In a country well governed, poverty is something to be ashamed of. In a country badly governed, wealth is something to be ashamed of.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
42,Confucius,"A lion chased me up a tree, and I greatly enjoyed the view from the top.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
43,Confucius,Education breeds confidence. Confidence breeds hope. Hope breeds peace.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
44,Confucius,To see what is right and not do it is the worst cowardice.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
45,Confucius,The beginning of wisdom is to call things by their proper name.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
46,Confucius,When a wise man points at the moon the imbecile examines the finger.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
47,Confucius,The superior man thinks always of virtue; the common man thinks of comfort.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
48,Confucius,Time flows away like the water in the river. ,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
49,Confucius,Don’t complain about the snow on your neighbor’s roof when your own doorstep is unclean.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
50,Confucius,It is easy to hate and it is difficult to love. This is how the whole scheme of things works. All good things are difficult to achieve; and bad things are very easy to get.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
51,Confucius,Learning without thought is labour lost; thought without learning is perilous.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
52,Confucius,"The Master said, “A true gentleman is one who has set his heart upon the Way. A fellow who is ashamed merely of shabby clothing or modest meals is not even worth conversing with.”<br>(Analects 4.9)",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
53,Confucius,"Without knowing the force of words, it is impossible to know more.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
54,Confucius,"Consideration for others is the basis of a good life, a good society.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
55,Confucius,"The Man who says he can, and the man who says he can not.. Are both correct",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
56,Confucius,Have no friends not equal to yourself.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
57,Confucius,"Tzu Chang asked Confucius about jen. Confucius said, ""If you can practice these five things with all the people, you can be called jen.""<br><br>Tzu Chang asked what they were.<br><br>Confucius said, ""Courtesy, generosity, honesty, persistence, and kindness.<br>If you are courteous, you will not be disrespected; <br>if you are generous, you will gain everything. <br>If you are honest, people will rely on you. <br>If you are persistent you will get results. <br>If you are kind, you can employ people.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
58,Confucius,Never give a sword to a man who can't dance.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
59,Confucius,"The superior man is modest in his speech, but exceeds in his actions.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=2
60,Confucius,He who conquers himself is the mightiest warrior.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
61,Confucius,The noble-minded are calm and steady. Little people are forever fussing and fretting.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
62,Confucius,roads were made for journeys not destinations,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
63,Confucius,"The nobler sort of man emphasizes the good qualities in others, and does not accentuate the bad. The inferior does.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
64,Confucius,"The Master said, “If your conduct is determined solely by considerations of profit you will arouse great resentment.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
65,Confucius,The superior man understands what is right; the inferior man understands what will sell.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
66,Confucius,"The Master said, “A true teacher is one who, keeping the past alive, is also able to understand the present.”<br>(Analects 2.11)",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
67,Confucius,"If you are the smartest person in the room, then you are in the wrong room.",NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
68,Confucius,Worry not that no one knows you; seek to be worth knowing.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
69,Confucius,A common man marvels at uncommon things. A wise man marvels at the commonplace.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
70,Confucius,The strength of a nation derives from the integrity of the home.,NA,https://www.goodreads.com/author/quotes/15321.Confucius?page=3
